X,Y,TrafficID,IntersectionID,lat,lon,intersection,TOOLTIP,NLA_URL
-118.448707944031412,34.15742271062777,3018,58179,34.15741782,-118.44869577,VENTURA FRWY at VAN NUYS BLVD,Location: VENTURA FRWY at VAN NUYS BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3018
-118.448707483558266,34.156574160042425,3019,58180,34.15656927,-118.44869531,VAN NUYS BLVD at VENTURA FRWY,Location: VAN NUYS BLVD at VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3019
-118.413788217802065,34.157033272473413,3020,58186,34.15702838,-118.41377605,VENTURA FRWY AT COLDWATER CANYON AVE,Location: VENTURA FRWY AT COLDWATER CANYON AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3020
-118.41378793841497,34.156368902114153,3021,58188,34.15636401,-118.41377577,COLDWATER CANYON AVE AT VENTURA FRWY,Location: COLDWATER CANYON AVE AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3021
-118.396492165230867,34.154834893233399,3022,58190,34.15483,-118.39648,LAUREL CANYON BLVD AT VENTURA FRWY,Location: LAUREL CANYON BLVD AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3022
-118.396492164950033,34.153994893010172,3023,58191,34.15399,-118.39648,LAUREL CANYON BLVD AT VENTURA FRWY,Location: LAUREL CANYON BLVD AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3023
-118.379004531807951,34.154893174313131,3024,58193,34.15488828,-118.37899237,VENTURA FRWY AT TUJUNGA AVE,Location: VENTURA FRWY AT TUJUNGA AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3024
-118.379000321533695,34.15268422324187,3025,58194,34.15267933,-118.37898816,VENTURA FRWY AT TUJUNGA AVE,Location: VENTURA FRWY AT TUJUNGA AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3025
-118.244692131358462,34.05987489036913,3026,58196,34.05987,-118.24468,GRAND AVE at SANTA ANA FRWY,Location: GRAND AVE at SANTA ANA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3026
-118.244592131379463,34.059974890535948,3027,58197,34.05997,-118.24458,GRAND AVE AT SANTA ANA FRWY,Location: GRAND AVE AT SANTA ANA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3027
-118.361502768701413,34.153608675150934,3028,58204,34.15360378,-118.36149061,CAHUENGA BLVD AT VENTURA FRWY,Location: CAHUENGA BLVD AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3028
-118.361498489121487,34.152840984829552,3029,58205,34.15283609,-118.36148633,CAHUENGA BLVD AT VENTURA FRWY,Location: CAHUENGA BLVD AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3029
-118.361498219366268,34.152792664199836,3030,58206,34.15278777,-118.36148606,CAHUENGA BLVD AT VENTURA FRWY,Location: CAHUENGA BLVD AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3030
-118.367747540219383,34.153501814003029,3031,58207,34.15349692,-118.36773538,VENTURA FRWY AT LANKERSHIM BLVD,Location: VENTURA FRWY AT LANKERSHIM BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3031
-118.369140559706409,34.152268994008452,3032,58208,34.1522641,-118.3691284,RIVERSIDE DR AT VENTURA FRWY,Location: RIVERSIDE DR AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3032
-118.442064999490384,33.983957571226405,3033,58211,33.9839527,-118.44205284,MARINA FRWY AT LINCOLN BLVD,Location: MARINA FRWY AT LINCOLN BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3033
-118.280672116669109,33.789454858333187,3034,58214,33.78945,-118.28066,FIGUEROA ST at HARBOR FRWY,Location: FIGUEROA ST at HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3034
-118.292892115253252,33.747634853112409,3035,58223,33.74763,-118.29288,GAFFEY ST at TERMINAL ISLAND FRWY,Location: GAFFEY ST at TERMINAL ISLAND FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3035
-118.292322115035518,33.746494852440307,3036,58225,33.74649,-118.29231,GAFFEY ST at HARBOR FRWY,Location: GAFFEY ST at HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3036
-118.186262128222282,34.141684902823641,3037,58235,34.14168,-118.18625,FIGUEROA ST at VENTURA FRWY,Location: FIGUEROA ST at VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3037
-118.24396213573003,34.112974896987055,3038,58248,34.11297,-118.24395,GLENDALE FRWY at SAN FERNANDO ROAD NORTHEAST ROADWAY,Location: GLENDALE FRWY at SAN FERNANDO ROAD NORTHEAST ROADWAY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3038
-118.243562135243536,34.112284896711209,3039,58249,34.11228,-118.24355,GLENDALE FRWY at SAN FERNANDO ROAD NORTHEAST ROADWAY,Location: GLENDALE FRWY at SAN FERNANDO ROAD NORTHEAST ROADWAY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3039
-118.25263213670182,34.10930489545828,3040,58250,34.1093,-118.25262,FLETCHER DR at GLENDALE FRWY,Location: FLETCHER DR at GLENDALE FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3040
-118.24448213592531,34.113504896360261,3041,58253,34.1135,-118.24447,GLENDALE FRWY at SAN FERNANDO ROAD NORTHEAST ROADWAY,Location: GLENDALE FRWY at SAN FERNANDO ROAD NORTHEAST ROADWAY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3041
-118.310874411107946,34.155313347363446,3042,58278,34.15530845,-118.31086226,FOREST LAWN DR AT VENTURA FRWY,Location: FOREST LAWN DR AT VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3042
-118.251530232496734,34.054532220185315,3043,58285,34.05452733,-118.2515181,GENERAL THADDEUS KOSCIUSZKO WAY AT HOPE ST,Location: GENERAL THADDEUS KOSCIUSZKO WAY AT HOPE ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3043
-118.255872372709845,34.05365083985496,3044,58997,34.05364595,-118.25586024,FIGUEROA ST at 4TH ST,Location: FIGUEROA ST at 4TH ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3044
-118.254792933014272,34.052962269519448,3045,58998,34.05295738,-118.2547808,FLOWER ST AT 4TH ST,Location: FLOWER ST AT 4TH ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3045
-118.252612551768294,34.051571289445548,3046,59000,34.0515664,-118.25260042,GRAND AVE AT 4TH ST,Location: GRAND AVE AT 4TH ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3046
-118.362165698021713,34.139027352944638,3047,59314,34.13902246,-118.36215354,LANKERSHIM BLVD AT UNIVERSAL HOLLYWOOD DR,Location: LANKERSHIM BLVD AT UNIVERSAL HOLLYWOOD DR,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3047
-118.361227778268145,34.140656763502164,3048,59321,34.14065187,-118.36121562,LANKERSHIM BLVD AT MAIN ST,Location: LANKERSHIM BLVD AT MAIN ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3048
-118.266206159298818,34.23172611886357,3049,60029,34.23172121,-118.26619401,HONOLULU AVE at LOWELL AVE,Location: HONOLULU AVE at LOWELL AVE\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3049
-118.326173572696277,34.15416207674226,3050,60082,34.15415718,-118.32616142,RIVERSIDE DR AT BUENA VISTA ST,Location: RIVERSIDE DR AT BUENA VISTA ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3050
-118.449026035235534,34.290758395118445,3051,60220,34.29075349,-118.44901385,TRUMAN AVE at HUBBARD ST,Location: TRUMAN AVE at HUBBARD ST\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3051
-118.449452985410446,34.290405764733308,3052,60222,34.29040086,-118.4494408,HUBBARD ST at SAN FERNANDO ROAD,Location: HUBBARD ST at SAN FERNANDO ROAD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3052
-118.376298947259414,34.094416597165313,3053,60344,34.09441171,-118.37628679,MILLER DR AT LA CIENEGA BLVD,Location: MILLER DR AT LA CIENEGA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3053
-118.385533788251891,34.09065227591573,3054,60362,34.09064739,-118.38552163,SAN VICENTE BLVD AT SUNSET BLVD,Location: SAN VICENTE BLVD AT SUNSET BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3054
-118.271769363214119,34.146762018650172,3055,60480,34.14675712,-118.27175722,SAN FERNANDO ROAD AT BRAZIL ST,Location: SAN FERNANDO ROAD AT BRAZIL ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3055
-118.376533665365443,34.081949735820537,3056,60603,34.08194485,-118.37652151,MELROSE AVE AT LA CIENEGA BLVD,Location: MELROSE AVE AT LA CIENEGA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3056
-118.34407985131817,34.090708848410252,3057,60697,34.09070396,-118.3440677,LA BREA AVE AT SANTA MONICA BLVD,Location: LA BREA AVE AT SANTA MONICA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3057
-118.376291276741696,34.08962191713114,3058,60733,34.08961703,-118.37627912,LA CIENEGA BLVD AT SANTA MONICA BLVD,Location: LA CIENEGA BLVD AT SANTA MONICA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3058
-118.414653501435225,34.067092332279188,3059,60828,34.06708745,-118.41464134,WHITTIER DR AT WILSHIRE BLVD,Location: WHITTIER DR AT WILSHIRE BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3059
-118.40889236896389,34.059715241241101,3060,60909,34.05971036,-118.40888021,SPALDING DR AT OLYMPIC BLVD,Location: SPALDING DR AT OLYMPIC BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3060
-118.444768170416594,33.991969291839993,3061,61066,33.99196442,-118.44475601,GLENCOE AVE AT WASHINGTON BLVD,Location: GLENCOE AVE AT WASHINGTON BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3061
-118.443273500142141,33.992717522119541,3062,61068,33.99271265,-118.44326134,WASHINGTON BLVD AT WALGROVE AVE,Location: WASHINGTON BLVD AT WALGROVE AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3062
-118.192413111352536,34.035998420605935,3063,61095,34.03599353,-118.19240099,INDIANA ST AT 1ST ST,Location: INDIANA ST AT 1ST ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3063
-118.219921473922085,34.014420746669074,3064,61138,34.01441586,-118.21990935,SOTO ST AT 26TH ST,Location: SOTO ST AT 26TH ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3064
-118.428477317638269,33.996962473088416,3065,61253,33.9969576,-118.42846516,CENTINELA AVE AT WASHINGTON BLVD,Location: CENTINELA AVE AT WASHINGTON BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3065
-118.421823646132367,33.997693754119304,3066,61257,33.99768888,-118.42181149,WASHINGTON BLVD AT MARCASEL AVE,Location: WASHINGTON BLVD AT MARCASEL AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3066
-118.422056976670206,33.99766681372801,3067,61258,33.99766194,-118.42204482,INGLEWOOD BLVD AT WASHINGTON BLVD,Location: INGLEWOOD BLVD AT WASHINGTON BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3067
-118.451554216417833,34.056086328364778,3068,61276,34.05608145,-118.45154205,SEPULVEDA BLVD AT WILSHIRE BLVD,Location: SEPULVEDA BLVD AT WILSHIRE BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3068
-118.435823278832615,33.996445242766185,3069,61285,33.99644037,-118.43581112,WASHINGTON BLVD AT WASHINGTON PL,Location: WASHINGTON BLVD AT WASHINGTON PL,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3069
-118.417987006178961,33.99978498407652,3070,61293,33.99978011,-118.41797485,WASHINGTON BLVD AT EAST BLVD,Location: WASHINGTON BLVD AT EAST BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3070
-118.417731496453413,33.999950634620618,3071,61294,33.99994576,-118.41771934,MCLAUGHLIN AVE AT WASHINGTON BLVD,Location: MCLAUGHLIN AVE AT WASHINGTON BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3071
-118.418295476972858,34.009632915785261,3072,61314,34.00962804,-118.41828332,SAWTELLE BLVD AT MATTESON AVE,Location: SAWTELLE BLVD AT MATTESON AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3072
-118.414658555610004,34.004151464719378,3073,61315,34.00414659,-118.4146464,SAWTELLE BLVD AT WASHINGTON BLVD,Location: SAWTELLE BLVD AT WASHINGTON BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3073
-118.416447976136382,34.007302395684192,3074,61316,34.00729752,-118.41643582,WASHINGTON PL AT SAWTELLE BLVD,Location: WASHINGTON PL AT SAWTELLE BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3074
-118.45424710462369,34.027429115669328,3075,61327,34.02742424,-118.45423494,PICO BLVD AT 34TH ST,Location: PICO BLVD AT 34TH ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3075
-118.402542375285392,34.018644127318126,3076,61476,34.01863925,-118.40253022,WASHINGTON BLVD AT MOTOR AVE,Location: WASHINGTON BLVD AT MOTOR AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3076
-118.405478925826614,34.016873337381192,3077,61479,34.01686846,-118.40546677,WASHINGTON BLVD AT OVERLAND AVE,Location: WASHINGTON BLVD AT OVERLAND AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3077
-118.374339491401827,34.032492190848899,3078,61729,34.03248731,-118.37432734,WASHINGTON BLVD AT LA CIENEGA BLVD,Location: WASHINGTON BLVD AT LA CIENEGA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3078
-118.397494054913167,34.021640137531541,3079,61733,34.02163526,-118.3974819,WASHINGTON BLVD AT DUQUESNE AVE,Location: WASHINGTON BLVD AT DUQUESNE AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3079
-118.395062904203556,34.022939647913361,3080,61798,34.02293477,-118.39505075,CULVER BLVD AT IRVING PL,Location: CULVER BLVD AT IRVING PL,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3080
-118.282770454900998,34.016513193848773,3081,62624,34.01650831,-118.28275832,FIGUEROA ST AT STATE DR,Location: FIGUEROA ST AT STATE DR,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3081
-118.377068226530682,33.959901601986921,3082,63358,33.95989673,-118.37705608,FLORENCE AVE AT MANCHESTER BLVD,Location: FLORENCE AVE AT MANCHESTER BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3082
-118.214067235790324,34.0523563320574,3083,63529,34.05235144,-118.21405511,GOLDEN STATE FRWY AT STATE ST,Location: GOLDEN STATE FRWY AT STATE ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3083
-118.374854250986672,34.152910823589757,3084,63729,34.15290593,-118.37484209,VENTURA FRWY AT RIVERSIDE DR,Location: VENTURA FRWY AT RIVERSIDE DR,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3084
-118.235239581002915,34.071287852444698,3085,63745,34.07128296,-118.23522745,STADIUM WAY AT PASADENA FRWY,Location: STADIUM WAY AT PASADENA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3085
-118.28101894421313,34.013882593310605,3086,63776,34.01387771,-118.28100681,39TH ST AT HARBOR FRWY,Location: 39TH ST AT HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3086
-118.281046293974939,34.01108895291118,3087,63777,34.01108407,-118.28103416,"HARBOR FRWY AT MARTIN LUTHER KING, JR BLVD","Location: HARBOR FRWY AT MARTIN LUTHER KING, JR BLVD",http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3087
-118.479183272301242,34.322944946994291,3088,63898,34.32294004,-118.47917108,YARNELL ST at FOOTHILL FRWY,Location: YARNELL ST at FOOTHILL FRWY\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3088
-118.411404954959522,34.003283944799584,3089,63919,34.00327907,-118.4113928,SAN DIEGO FRWY AT CULVER BLVD,Location: SAN DIEGO FRWY AT CULVER BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3089
-118.272179934854336,34.038370797044614,3090,63960,34.03836591,-118.2721678,VENICE BLVD AT SANTA MONICA FRWY,Location: VENICE BLVD AT SANTA MONICA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3090
-118.299401037148101,33.763562314859072,3091,17785,33.76355746,-118.29938892,WESTMONT DR at TAPER AVE,Location: WESTMONT DR at TAPER AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3091
-118.343348271456122,34.104122069840137,3093,21800,34.10411718,-118.34333612,SYCAMORE AVE at FRANKLIN AVE,Location: SYCAMORE AVE at FRANKLIN AVE\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3093
-118.3428213922856,34.104123519793205,3094,21600,34.10411863,-118.34280924,SYCAMORE AVE at FRANKLIN AVE,Location: SYCAMORE AVE at FRANKLIN AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3094
-118.278571264409038,34.024147085230858,3095,5752,34.0241422,-118.27855913,31ST ST at FIGUEROA ST,Location: 31ST ST at FIGUEROA ST\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3095
-118.277327094708994,34.023591274685401,3096,5757,34.02358639,-118.27731496,31ST ST at FLOWER ST,Location: 31ST ST at FLOWER ST\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3096
-118.241687810047509,34.052416449828705,3097,50838,34.05241156,-118.24167568,LOS ANGELES ST at JACKSON ST,Location: LOS ANGELES ST at JACKSON ST\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3097
-118.238897760020478,34.057092320778537,3098,8231,34.05708743,-118.23888563,NORTH MAIN ST at PASEO DE LA PLAZA,Location: NORTH MAIN ST at PASEO DE LA PLAZA,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3098
-118.291551027253306,34.032767565337259,3099,7830,34.03276268,-118.29153889,VERMONT AVE at ADAMS BLVD,Location: VERMONT AVE at ADAMS BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3099
-118.290718449178812,34.052403927696581,3101,7316,34.05239904,-118.29070631,MENLO AVE at OLYMPIC BLVD,Location: MENLO AVE at OLYMPIC BLVD\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3101
-118.292670729458834,34.052664487661609,3102,7292,34.0526596,-118.29265859,OLYMPIC BLVD at NEW HAMPSHIRE AVE,Location: OLYMPIC BLVD at NEW HAMPSHIRE AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3102
-118.292631118311277,34.047261047133482,3103,7328,34.04725616,-118.29261898,NEW HAMPSHIRE AVE at PICO BLVD,Location: NEW HAMPSHIRE AVE at PICO BLVD\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3103
-118.299411046882682,33.763567040901499,3105,,33.76356219,-118.29939893, ,Location:  ,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3105
-118.30902740331058,33.941837883895396,3106,1669,33.94183301,-118.30901527,104TH ST at WESTERN AVE,Location: 104TH ST at WESTERN AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3106
-118.405254620278214,34.17942592676664,3107,,34.17942103,-118.40524245,WHITSETT AV AT OXNARD ST,Location: WHITSETT AV AT OXNARD ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3107
-118.405263811211796,34.21210738830959,3108,26014,34.21210249,-118.40525164,WHITSETT AVE at STAGG ST,Location: WHITSETT AVE at STAGG ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3108
-118.405262030498449,34.198463197491591,3109,25793,34.1984583,-118.40524986,VOSE ST at WHITSETT AVE,Location: VOSE ST at WHITSETT AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3109
-118.462758566214447,34.272757392494029,3112,31731,34.27275249,-118.46274638,SAN FERNANDO MISSION BLVD at COLUMBUS AVE,Location: SAN FERNANDO MISSION BLVD at COLUMBUS AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3112
-118.287088592473864,33.974643258782734,3113,1575,33.97463838,-118.28707646,FLORENCE AVE at HOOVER ST,Location: FLORENCE AVE at HOOVER ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3113
-118.313521294704387,34.078492908576891,3114,51174,34.07848802,-118.31350915,ELMWOOD AVE at WILTON PL,Location: ELMWOOD AVE at WILTON PL,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3114
-118.474939492622781,34.201063723652474,3115,32442,34.20105883,-118.47492731,HASKELL AVE at SHERMAN WAY,Location: HASKELL AVE at SHERMAN WAY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3115
-118.2569175403668,34.020761585611687,3116,5428,34.0207567,-118.25690541,GRIFFITH AVE at 25TH ST,Location: GRIFFITH AVE at 25TH ST,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3116
-118.253458250176081,34.021282426144147,3117,5422,34.02127754,-118.25344612,CENTRAL AVE at 23RD ST,Location: CENTRAL AVE at 23RD ST\nData not available yet,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3117
-118.279383121226005,34.110872524662717,3118,14986,34.11086763,-118.27937098,BEN LOMOND PL at ROWENA AVE,Location: BEN LOMOND PL at ROWENA AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3118
