,Date,HighTemp,LowTemp,AverageTemp,Precipitation,NauticalTwilightRise,NauticalTwilightSet
237,2017-8-31,108,77,93,0,5:31,8:18
238,2017-9-1,107,77,92,1e-16,5:32,8:16
239,2017-9-2,101,81,91,0,5:33,8:15
240,2017-9-3,99,73,86,0.03,5:34,8:13
241,2017-9-4,84,71,78,0,5:35,8:12
242,2017-9-5,88,70,79,0,5:35,8:10
243,2017-9-6,90,70,80,0,5:36,8:09
244,2017-9-7,90,66,78,0,5:37,8:07
245,2017-9-8,84,66,75,0,5:38,8:06
246,2017-9-9,86,64,75,0,5:39,8:05
247,2017-9-10,96,67,82,0,5:39,8:03
248,2017-9-11,97,72,85,1e-16,5:40,8:02
249,2017-9-12,86,67,77,0,5:41,8:00
250,2017-9-13,78,63,71,0,5:42,7:59
251,2017-9-14,75,62,69,0,5:42,7:57
252,2017-9-15,75,65,70,0,5:43,7:56
253,2017-9-16,78,61,70,0,5:44,7:54
254,2017-9-17,76,64,70,0,5:45,7:53
255,2017-9-18,77,60,69,0,5:45,7:51
256,2017-9-19,75,64,70,0,5:46,7:50
257,2017-9-20,77,60,69,0,5:47,7:48
258,2017-9-21,72,60,66,0.02,5:48,7:47
259,2017-9-22,72,54,63,0,5:48,7:45
260,2017-9-23,74,54,64,0,5:49,7:44
261,2017-9-24,86,54,70,0,5:50,7:42
262,2017-9-25,87,57,72,0,5:50,7:41
263,2017-9-26,86,59,73,0,5:51,7:40
264,2017-9-27,89,59,74,0,5:52,7:38
265,2017-9-28,95,60,78,0,5:53,7:37
266,2017-9-29,93,62,78,0,5:53,7:35
267,2017-9-30,82,62,72,0,5:54,7:34
268,2017-10-1,77,62,70,0,5:55,7:32
269,2017-10-2,76,60,68,0,5:55,7:31
270,2017-10-3,73,60,67,0,5:56,7:30
271,2017-10-4,82,53,68,0,5:57,7:28
272,2017-10-5,86,55,71,0,5:58,7:27
273,2017-10-6,96,56,76,0,5:58,7:26
274,2017-10-7,95,62,79,0,5:59,7:24
275,2017-10-8,80,59,70,0,6:00,7:23
276,2017-10-9,86,61,74,0,6:01,7:22
277,2017-10-10,87,57,72,0,6:01,7:20
278,2017-10-11,79,56,68,0,6:02,7:19
279,2017-10-12,76,58,67,0,6:03,7:18
280,2017-10-13,79,55,67,0,6:04,7:17
281,2017-10-14,92,54,73,0,6:04,7:15
282,2017-10-15,95,58,77,0,6:05,7:14
283,2017-10-16,98,64,81,0,6:06,7:13
284,2017-10-17,95,63,79,0,6:07,7:12
285,2017-10-18,86,66,76,0,6:07,7:11
286,2017-10-19,79,60,70,0,6:08,7:10
287,2017-10-20,73,62,68,0,6:09,7:09
288,2017-10-21,80,53,67,0,6:10,7:07
289,2017-10-22,94,56,75,0,6:11,7:06
290,2017-10-23,102,62,82,0,6:11,7:05
291,2017-10-24,104,74,89,0,6:12,7:04
292,2017-10-25,100,67,84,0,6:13,7:03
293,2017-10-26,93,63,78,0,6:14,7:02
294,2017-10-27,89,60,75,0,6:15,7:01
295,2017-10-28,86,58,72,0,6:15,7:00
296,2017-10-29,75,52,64,0,6:16,6:59
297,2017-10-30,68,60,64,1e-16,6:17,6:58
298,2017-10-31,69,60,65,0.08,6:18,6:58
299,2017-11-1,71,62,67,0,6:19,6:57
300,2017-11-2,66,60,63,1e-16,6:19,6:56
301,2017-11-3,68,58,63,0,6:20,6:55
302,2017-11-4,72,53,63,0,6:21,6:54
303,2017-11-5,70,57,64,1e-16,5:22,5:54
304,2017-11-6,71,56,64,1e-16,5:23,5:53
305,2017-11-7,77,57,67,0,5:24,5:52
306,2017-11-8,76,54,65,0,5:25,5:51
307,2017-11-9,71,56,64,0,5:25,5:51
308,2017-11-10,70,53,62,0,5:26,5:50
309,2017-11-11,73,49,61,0,5:27,5:50
310,2017-11-12,70,51,61,0,5:28,5:49
311,2017-11-13,77,48,63,0,5:29,5:48
312,2017-11-14,81,51,66,0,5:30,5:48
313,2017-11-15,81,54,68,0,5:31,5:47
314,2017-11-16,79,58,69,1e-16,5:31,5:47
315,2017-11-17,74,58,66,1e-16,5:32,5:46
316,2017-11-18,78,51,65,0,5:33,5:46
317,2017-11-19,79,49,64,0,5:34,5:46
318,2017-11-20,77,49,63,0,5:35,5:45
319,2017-11-21,91,57,74,0,5:36,5:45
320,2017-11-22,95,60,78,0,5:37,5:45
321,2017-11-23,93,60,77,0,5:37,5:44
322,2017-11-24,87,58,73,0,5:38,5:44
323,2017-11-25,86,57,72,0,5:39,5:44
324,2017-11-26,77,53,65,0,5:40,5:44
325,2017-11-27,70,51,61,1e-16,5:41,5:44
326,2017-11-28,77,46,62,0,5:42,5:43
327,2017-11-29,77,48,63,0,5:42,5:43
328,2017-11-30,84,45,65,0,5:43,5:43
329,2017-12-1,77,50,64,0,5:44,5:43
330,2017-12-2,81,49,65,0,5:45,5:43
331,2017-12-3,69,50,60,0,5:45,5:43
332,2017-12-4,71,45,58,0,5:46,5:43
333,2017-12-5,68,57,63,1e-16,5:47,5:43
334,2017-12-6,79,56,68,0,5:48,5:43
335,2017-12-7,79,55,67,0,5:48,5:43
336,2017-12-8,78,49,64,0,5:49,5:44
337,2017-12-9,82,47,65,0,5:50,5:44
338,2017-12-10,83,48,66,0,5:51,5:44
339,2017-12-11,80,50,65,0,5:51,5:44
340,2017-12-12,83,44,64,0,5:52,5:44
341,2017-12-13,83,48,66,0,5:53,5:45
342,2017-12-14,79,45,62,0,5:53,5:45
343,2017-12-16,68,51,60,1e-16,5:54,5:46
344,2017-12-17,71,53,62,0,5:55,5:46
345,2017-12-18,73,46,60,0,5:56,5:46
346,2017-12-19,71,44,58,0,5:56,5:47
347,2017-12-20,59,42,51,1e-16,5:57,5:47
348,2017-12-21,64,42,53,0,5:57,5:48
349,2017-12-22,64,35,50,0,5:58,5:48
350,2017-12-23,67,41,54,0,5:58,5:49
351,2017-12-24,76,44,60,0,5:58,5:49
352,2017-12-25,71,42,57,0,5:59,5:50
353,2017-12-26,69,44,57,0,5:59,5:50
354,2017-12-27,81,44,63,0,6:00,5:51
355,2017-12-28,84,46,65,0,6:00,5:52
356,2017-12-29,85,48,67,0,6:00,5:52
357,2017-12-30,76,45,61,0,6:01,5:53
358,2017-12-31,70,48,59,0,6:01,5:54
